chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
V,2020-09-18,205.0000,call,sell,2020-08-24T13:52:27.266356Z,credit,1.00000,limit,,long_call,5.45000000,1.00000
BYND,2020-09-18,140.0000,call,buy,2020-08-21T15:42:32.003342Z,debit,1.00000,limit,long_call,,3.15000000,1.00000
BA,2020-09-18,195.0000,call,buy,2020-08-20T16:19:02.312817Z,debit,1.00000,limit,long_call,,3.20000000,1.00000
BA,2020-09-11,200.0000,call,sell,2020-08-20T16:18:28.178169Z,credit,1.00000,limit,,long_call,1.76000000,1.00000
V,2020-09-18,205.0000,call,sell,2020-08-19T17:43:24.569404Z,credit,1.00000,limit,,long_call,4.35000000,1.00000
MSFT,2020-09-11,225.0000,call,buy,2020-08-18T18:56:43.449839Z,debit,1.00000,limit,long_call,,1.47000000,1.00000
V,2020-08-21,205.0000,call,sell,2020-08-18T18:56:17.410928Z,credit,1.00000,limit,,long_call,0.28000000,1.00000
TLT,2020-08-21,170.0000,call,sell,2020-08-18T18:56:05.371615Z,credit,3.00000,limit,,long_call,0.04000000,3.00000
MSFT,2020-09-11,225.0000,call,buy,2020-08-18T18:54:22.226879Z,debit,1.00000,limit,long_call,,1.46000000,1.00000
V,2020-09-18,205.0000,call,buy,2020-08-18T14:55:48.957213Z,debit,1.00000,limit,long_call,,2.60000000,1.00000
V,2020-09-18,205.0000,call,buy,2020-08-17T15:17:47.912068Z,debit,1.00000,limit,long_call,,3.75000000,1.00000
V,2020-08-21,205.0000,call,buy,2020-08-17T15:05:44.443088Z,debit,1.00000,limit,long_call,,0.65000000,1.00000
BA,2020-08-21,185.0000,call,sell,2020-08-17T14:50:13.787155Z,credit,2.00000,limit,,long_call,1.10000000,2.00000
SQ,2020-09-18,150.0000,call,sell,2020-08-17T13:46:02.388550Z,credit,1.00000,limit,,long_call,7.75000000,1.00000
BA,2020-08-21,185.0000,call,buy,2020-08-12T19:32:18.424974Z,debit,1.00000,limit,long_call,,3.40000000,1.00000
AYX,2020-09-18,130.0000,call,sell,2020-08-12T19:19:19.645558Z,credit,1.00000,limit,,long_call,2.35000000,1.00000
BA,2020-08-21,185.0000,call,buy,2020-08-11T19:32:46.217407Z,debit,1.00000,limit,long_call,,5.80000000,1.00000
V,2020-09-18,205.0000,call,sell,2020-08-11T19:19:27.902231Z,credit,1.00000,limit,,long_call,4.00000000,1.00000
TLT,2020-08-21,170.0000,call,buy,2020-08-11T19:05:51.130827Z,debit,3.00000,limit,long_call,,0.38000000,3.00000
